0,0,1
1,2,1
2,0,3
3,3,2
4,1,4
5,5,6
6,5,7
7,7,8
8,7,9
9,10,11
10,11,12
11,9,8
12,9,13
13,13,14
14,15,16
15,14,17
16,17,18
17,18,19
18,4,20
19,5,20
20,20,21
21,21,22
22,22,23
23,22,24
24,24,25
25,25,26
26,26,27
27,27,28
28,28,29
29,29,30
30,30,31
31,5,32
32,32,33
33,33,34
34,34,25
35,34,35
36,29,36
37,37,36
38,36,38
39,35,38
40,35,39
41,38,40
42,40,41
43,39,42
44,42,41
45,41,43
46,44,45
47,46,47
48,47,48
49,48,13
50,49,50
51,50,51
52,50,52
53,52,53
54,53,54
55,54,46
56,54,55
57,42,44
58,44,56
59,56,57
60,46,58
61,58,59
62,46,60
63,34,61
64,61,60
65,60,59
66,59,56
67,57,62
68,62,55
69,52,63
70,55,64
71,64,65
72,64,66
73,66,67
74,66,68
75,68,69
76,68,63
77,63,70
78,19,71
79,71,72
80,19,73
81,73,74
82,74,75
83,75,76
84,73,76
85,70,77
86,77,78
87,78,79
88,79,80
89,79,81
90,81,82
91,82,83
92,82,84
93,19,85
94,85,86
95,86,87
96,87,88
97,88,89
98,89,86
99,89,90
100,70,91
101,91,81
102,91,84
103,92,84
104,92,90
105,76,72
106,72,93
107,93,94
108,93,95
109,95,83
110,90,96
111,96,97
112,97,98
113,98,99
114,98,100
115,98,101
116,101,102
117,101,103
118,96,18
119,90,104
