name, lat, lon
ソアリン：ファンタスティック・フライト,35.62753096260775, 139.88570175371126
ディズニーシー・トランジットスチーマーライン（メディテレーニアンハーバー）,35.626573169189264, 139.88593456101927
フォートレス・エクスプロレーション,35.62577595814663, 139.88521622867762
ヴェネツィアン・ゴンドラ,35.62609086477499, 139.88796327515433
タートル・トーク,35.62334375031604, 139.88726518210083
タワー・オブ・テラー,35.62391248028388, 139.88828835075003
ディズニーシー・エレクトリックレールウェイ（アメリカンウォーターフロント）,35.62491145456335, 139.88775091735545
ディズニーシー・トランジットスチーマーライン（アメリカンウォーターフロント）,35.62420292517226, 139.88569672120138
トイ・ストーリー・マニア！,35.62477700583167, 139.8889301319155
ビッグシティ・ヴィークル,35.62439387470845, 139.88706200880483
アクアトピア,35.62468589551906, 139.88349606906613
ディズニーシー・エレクトリックレールウェイ（ポートディスカバリー）,35.62539074665123, 139.88309169515944
ニモ＆フレンズ・シーライダー,35.62494825695022, 139.88251554646882
インディ・ジョーンズ・アドベンチャー： クリスタルスカルの魔宮,35.6263737631128, 139.8809767843943
ディズニーシー・トランジットスチーマーライン（ロストリバーデルタ）,35.62673965820737, 139.8819008279609
レイジングスピリッツ,35.627722226399435, 139.88080457814263
キャラバンカルーセル,35.62817027479872, 139.88333969788812
ジャスミンのフライングカーペット,35.62835033507712, 139.88110064513887
シンドバッド・ストーリーブック・ヴォヤッジ,35.628507999414445, 139.8814498574758
マジックランプシアター,35.628433782867795, 139.88306798035555
アリエルのプレイグラウンド,35.62679154348968, 139.8833172765092
ジャンピン・ジェリーフィッシュ,35.626514238390236, 139.88340256425997
スカットルのスクーター,35.62726987355347, 139.88321567037846
フランダーのフライングフィッシュコースター,35.627035483426376, 139.88224597144833
ブローフィッシュ・バルーンレース,35.626468454526325, 139.88290367341438
マーメイドラグーンシアター,35.62640700722643, 139.88271825269382
ワールプール,35.626673391618006, 139.88312897895753
海底2万マイル,35.62641929875694, 139.88461075873784
センター・オブ・ジ・アース,35.62591270174353, 139.88453268519172
